park_name,park_url,park_type,park_city,park_state
Birmingham Civil Rights,/bicr/,National Monument,AL ,Alabama
Freedom Riders,/frri/,National Monument,AL ,Alabama
Horseshoe Bend,/hobe/,National Military Park,"Daviston, AL ",Alabama
Little River Canyon,/liri/,National Preserve,"Fort Payne, AL ",Alabama
Natchez Trace,/natr/,Parkway,"the states of AL,MS,TN ",Alabama
Natchez Trace,/natt/,National Scenic Trail,"Tupelo, AL,MS,TN ",Alabama
Russell Cave,/ruca/,National Monument,"Bridgeport, AL ",Alabama
Selma To Montgomery,/semo/,National Historic Trail,"Montgomery, Lowndes & Dallas Counties, AL ",Alabama
Trail Of Tears,/trte/,National Historic Trail,"AL,AR,GA,IL,KY,MO,NC,OK,TN ",Alabama
Tuskegee Airmen,/tuai/,National Historic Site,"Tuskegee, AL ",Alabama
Tuskegee Institute,/tuin/,National Historic Site,"Tuskegee Institute, AL ",Alabama
Alagnak,/alag/,Wild River,"King Salmon, AK ",Alaska
Alaska Public Lands,/anch/,,"Anchorage, AK ",Alaska
Aleutian Islands World War II,/aleu/,National Historic Area,"Unalaska/Dutch Harbor, AK ",Alaska
Aniakchak,/ania/,National Monument & Preserve,"King Salmon, AK ",Alaska
Bering Land Bridge,/bela/,National Preserve,"Nome, AK ",Alaska
Cape Krusenstern,/cakr/,National Monument,"Kotzebue, AK ",Alaska
Denali,/dena/,National Park & Preserve,"Denali Park, AK ",Alaska
Gates Of The Arctic,/gaar/,National Park & Preserve,"Bettles, AK ",Alaska
Glacier Bay,/glba/,National Park & Preserve,"Gustavus, AK ",Alaska
Iñupiat Heritage Center,/inup/,,"Barrow , AK ",Alaska
Katmai,/katm/,National Park & Preserve,"King Salmon, AK ",Alaska
Kenai Fjords,/kefj/,National Park,"Seward, AK ",Alaska
Klondike Gold Rush,/klgo/,National Historical Park,"Skagway, AK ",Alaska
Kobuk Valley,/kova/,National Park,"Kotzebue, AK ",Alaska
Lake Clark,/lacl/,National Park & Preserve,"Port Alsworth, AK ",Alaska
Noatak,/noat/,National Preserve,"Kotzebue, AK ",Alaska
Sitka,/sitk/,National Historical Park,"Sitka, AK ",Alaska
Wrangell - St Elias,/wrst/,National Park & Preserve,"Copper Center, AK ",Alaska
Yukon - Charley Rivers,/yuch/,National Preserve,"Eagle, AK ",Alaska
National Park of American Samoa,/npsa/,,"Pago Pago, American Samoa, AS ",American Samoa
Butterfield Overland,/buov/,National Historic Trail,"MO, AR, OK, TX, NM, AZ, CA ",Arizona
Canyon de Chelly,/cach/,National Monument,"Chinle, AZ ",Arizona
Casa Grande Ruins,/cagr/,National Monument,"Coolidge, AZ ",Arizona
Chiricahua,/chir/,National Monument,"Willcox, AZ ",Arizona
Coronado,/coro/,National Memorial,"Hereford, AZ ",Arizona
Fort Bowie,/fobo/,National Historic Site,"Willcox, AZ ",Arizona
Glen Canyon,/glca/,National Recreation Area,"Glen Canyon National Recreation Area, AZ,UT ",Arizona
Grand Canyon,/grca/,National Park,"Grand Canyon, AZ ",Arizona
Grand Canyon-Parashant,/para/,National Monument,"Northern Arizona, AZ ",Arizona
Hubbell Trading Post,/hutr/,National Historic Site,"Ganado, AZ ",Arizona
Juan Bautista de Anza,/juba/,National Historic Trail,"Nogales, AZ to San Francisco, CA, AZ,CA ",Arizona
Lake Mead,/lake/,National Recreation Area,"the Mojave Desert, AZ,NV ",Arizona
Montezuma Castle,/moca/,National Monument,"Camp Verde, AZ ",Arizona
Navajo,/nava/,National Monument,"Black Mesa, AZ ",Arizona
Old Spanish,/olsp/,National Historic Trail,"AZ,CA,CO,NV,NM,UT ",Arizona
Organ Pipe Cactus,/orpi/,National Monument,"Ajo, AZ ",Arizona
Petrified Forest,/pefo/,National Park,"Petrified Forest National Park, AZ ",Arizona
Pipe Spring,/pisp/,National Monument,"Fredonia, AZ ",Arizona
Saguaro,/sagu/,National Park,"Tucson, AZ ",Arizona
Sunset Crater Volcano,/sucr/,National Monument,"Flagstaff, AZ ",Arizona
Tonto,/tont/,National Monument,"Roosevelt, AZ ",Arizona
Tumacácori,/tuma/,National Historical Park,"Tumacácori, AZ ",Arizona
Tuzigoot,/tuzi/,National Monument,"Clarkdale, AZ ",Arizona
Walnut Canyon,/waca/,National Monument,"Flagstaff, AZ ",Arizona
Wupatki,/wupa/,National Monument,"Flagstaff, AZ ",Arizona
Arkansas Post,/arpo/,National Memorial,"Gillett, AR ",Arkansas
Buffalo,/buff/,National River,"Harrison and St. Joe, AR ",Arkansas
Butterfield Overland,/buov/,National Historic Trail,"MO, AR, OK, TX, NM, AZ, CA ",Arkansas
Fort Smith,/fosm/,National Historic Site,"Fort Smith, AR,OK ",Arkansas
Hot Springs,/hosp/,National Park,"Hot Springs, AR ",Arkansas
Little Rock Central High School,/chsc/,National Historic Site,"Little Rock, AR ",Arkansas
Pea Ridge,/peri/,National Military Park,"Pea Ridge, AR ",Arkansas
President William Jefferson Clinton Birthplace Home,/wicl/,National Historic Site,"Hope, AR ",Arkansas
Trail Of Tears,/trte/,National Historic Trail,"AL,AR,GA,IL,KY,MO,NC,OK,TN ",Arkansas
Alcatraz Island,/alca/,,"San Francisco, CA ",California
Butterfield Overland,/buov/,National Historic Trail,"MO, AR, OK, TX, NM, AZ, CA ",California
Cabrillo,/cabr/,National Monument,"San Diego, CA ",California
California,/cali/,National Historic Trail,"Various States CA,CO,ID,KS,MO,NE,NV,OR,UT,WY ",California
Castle Mountains,/camo/,National Monument,"Barstow, CA ",California
César E. Chávez,/cech/,National Monument,CA ,California
Channel Islands,/chis/,National Park,"Ventura, CA ",California
Death Valley,/deva/,National Park,"Death Valley, CA,NV ",California
Devils Postpile,/depo/,National Monument,"the Sierra Nevada near     Mammoth Lakes, CA ",California
Eugene O'Neill,/euon/,National Historic Site,"Danville, CA ",California
Fort Point,/fopo/,National Historic Site,"Presidio of San Francisco, CA ",California
Golden Gate,/goga/,National Recreation Area,"San Francisco, CA ",California
John Muir,/jomu/,National Historic Site,"Martinez, CA ",California
Joshua Tree,/jotr/,National Park,"Southern California between I-10 and Hwy 62; headquarters in Twentynine Palms, CA ",California
Juan Bautista de Anza,/juba/,National Historic Trail,"Nogales, AZ to San Francisco, CA, AZ,CA ",California
Lassen Volcanic,/lavo/,National Park,"Mineral, CA ",California
Lava Beds,/labe/,National Monument,"Tulelake, CA ",California
Manzanar,/manz/,National Historic Site,"Independence, CA ",California
Mojave,/moja/,National Preserve,"Southern California between I-15 and I-40; headquarters in Barstow, CA ",California
Muir Woods,/muwo/,National Monument,"Mill Valley, CA ",California
Old Spanish,/olsp/,National Historic Trail,"AZ,CA,CO,NV,NM,UT ",California
Pinnacles,/pinn/,National Park,"Paicines, CA ",California
Point Reyes,/pore/,National Seashore,"Point Reyes, CA ",California
Pony Express,/poex/,National Historic Trail,"Various States CA,CO,KS,MO,NE,NV,UT,WY ",California
Port Chicago Naval Magazine,/poch/,National Memorial,"Concord Naval Weapons Station, CA ",California
Presidio of San Francisco,/prsf/,,"San Francisco, CA ",California
Redwood,/redw/,National and State Parks,"Del Norte & Humboldt counties , CA ",California
Rosie the Riveter WWII Home Front,/rori/,National Historical Park,"Richmond, CA ",California
San Francisco Maritime,/safr/,National Historical Park,"San Francisco, CA ",California
Santa Monica Mountains,/samo/,National Recreation Area,"Thousand Oaks, CA ",California
Sequoia & Kings Canyon,/seki/,National Parks,"In the southern Sierra Nevada in Tulare and Fresno counties, CA ",California
Tule Lake,/tule/,National Monument,"Tulelake, CA ",California
Whiskeytown,/whis/,National Recreation Area,"Whiskeytown, CA ",California
Yosemite,/yose/,National Park,"the Sierra Nevada, CA ",California
Amache,/amch/,National Historic Site,,Colorado
Bent's Old Fort,/beol/,National Historic Site,"La Junta, CO ",Colorado
Black Canyon Of The Gunnison,/blca/,National Park,"Montrose, CO ",Colorado
California,/cali/,National Historic Trail,"Various States CA,CO,ID,KS,MO,NE,NV,OR,UT,WY ",Colorado
Colorado,/colm/,National Monument,"Fruita, CO ",Colorado
Curecanti,/cure/,National Recreation Area,"Gunnison, CO ",Colorado
Dinosaur,/dino/,National Monument,"Vernal, Utah & Dinosaur, Colorado, CO,UT ",Colorado
Florissant Fossil Beds,/flfo/,National Monument,"Florissant, CO ",Colorado
Great Sand Dunes,/grsa/,National Park & Preserve,"Mosca, CO ",Colorado
Hovenweep,/hove/,National Monument,"Blanding, Utah & Cortez, Colorado, CO,UT ",Colorado
Mesa Verde,/meve/,National Park,"Cortez and Mancos, CO ",Colorado
Old Spanish,/olsp/,National Historic Trail,"AZ,CA,CO,NV,NM,UT ",Colorado
Pony Express,/poex/,National Historic Trail,"Various States CA,CO,KS,MO,NE,NV,UT,WY ",Colorado
Rocky Mountain,/romo/,National Park,"Estes Park and Grand Lake, CO ",Colorado
Sand Creek Massacre,/sand/,National Historic Site,"Kiowa County, CO ",Colorado
Santa Fe,/safe/,National Historic Trail,"CO,KS,MO,NM,OK ",Colorado
Yucca House,/yuho/,National Monument,"Cortez, CO ",Colorado
Appalachian,/appa/,National Scenic Trail,"Maine to Georgia, CT,GA,MA,MD,ME,NC,NH,NJ,NY,PA,TN,VA,VT,WV ",Connecticut
Coltsville,/colt/,National Historical Park,"Hartford, CT ",Connecticut
New England,/neen/,National Scenic Trail,"MA,CT ",Connecticut
Washington-Rochambeau Revolutionary Route,/waro/,National Historic Trail,"MA,RI,CT,NY,NJ,PA,DE,MD,VA,DC ",Connecticut
Weir Farm,/wefa/,National Historical Park,"Ridgefield & Wilton, CT ",Connecticut
Captain John Smith Chesapeake,/cajo/,National Historic Trail,"Various States VA,MD,DE,DC,PA,NY ",Delaware
Chesapeake Bay,/cbpo/,,"Chesapeake Bay Watershed, DC,DE,MD,NY,PA,VA,WV ",Delaware
First State,/frst/,National Historical Park,"DE,PA ",Delaware
Washington-Rochambeau Revolutionary Route,/waro/,National Historic Trail,"MA,RI,CT,NY,NJ,PA,DE,MD,VA,DC ",Delaware
African American Civil War Memorial,/afam/,,"Washington, DC ",District of Columbia
Anacostia,/anac/,Park,"Washington, DC ",District of Columbia
Belmont-Paul Women's Equality,/bepa/,National Monument,"Washington, DC ",District of Columbia
Capitol Hill Parks,/cahi/,,"Washington, DC ",District of Columbia
Captain John Smith Chesapeake,/cajo/,National Historic Trail,"Various States VA,MD,DE,DC,PA,NY ",District of Columbia
Carter G. Woodson Home,/cawo/,National Historic Site,"Washington, DC ",District of Columbia
Chesapeake & Ohio Canal,/choh/,National Historical Park,"Potomac River, DC,MD,WV ",District of Columbia
Chesapeake Bay,/cbpo/,,"Chesapeake Bay Watershed, DC,DE,MD,NY,PA,VA,WV ",District of Columbia
Civil War Defenses of Washington,/cwdw/,,"Washington, DC,MD,VA ",District of Columbia
Constitution Gardens,/coga/,,"Washington, DC ",District of Columbia
Dwight D. Eisenhower,/ddem/,Memorial,DC ,District of Columbia
Ford's Theatre,/foth/,,"Washington, DC ",District of Columbia
Fort Dupont Park,/fodu/,,"Washington, DC ",District of Columbia
Franklin Delano Roosevelt Memorial,/frde/,,"Washington, DC ",District of Columbia
Frederick Douglass,/frdo/,National Historic Site,"Washington, DC ",District of Columbia
George Washington,/gwmp/,Memorial Parkway,"DC,MD,VA ",District of Columbia
Kenilworth Park & Aquatic Gardens,/keaq/,,"Washington, DC ",District of Columbia
Korean War Veterans Memorial,/kowa/,,"Washington, DC ",District of Columbia
LBJ Memorial Grove on the Potomac,/lyba/,,"Washington, DC ",District of Columbia
Lincoln Memorial,/linc/,,"Washington, DC ",District of Columbia
"Martin Luther King, Jr. Memorial",/mlkm/,,"Washington, DC ",District of Columbia
Mary McLeod Bethune Council House,/mamc/,"National Historic Site
","Washington, DC ",District of Columbia
National Capital Parks-East,/nace/,,"Washington, DC ",District of Columbia
National Mall and Memorial Parks,/nama/,,"Washington, DC ",District of Columbia
Pennsylvania Avenue,/paav/,,"Washington, DC ",District of Columbia
Potomac Heritage,/pohe/,National Scenic Trail,"the corridor between the Chesapeake Bay and the Allegheny Highlands, DC,MD,PA,VA ",District of Columbia
Rock Creek,/rocr/,Park,"Washington, DC ",District of Columbia
Star-Spangled Banner,/stsp/,National Historic Trail,"DC,MD,VA ",District of Columbia
The White House and President's Park,/whho/,,"Washington, DC ",District of Columbia
Theodore Roosevelt Island,/this/,,"Washington, DC ",District of Columbia
Thomas Jefferson Memorial,/thje/,,"Washington, DC ",District of Columbia
Vietnam Veterans Memorial,/vive/,,"Washington, DC ",District of Columbia
Washington Monument,/wamo/,,"Washington, DC ",District of Columbia
Washington-Rochambeau Revolutionary Route,/waro/,National Historic Trail,"MA,RI,CT,NY,NJ,PA,DE,MD,VA,DC ",District of Columbia
World War I Memorial,/wwim/,,"Washington, DC ",District of Columbia
World War II Memorial,/wwii/,,"
Washington, DC ",District of Columbia
Big Cypress,/bicy/,National Preserve,"Ochopee, FL ",Florida
Biscayne,/bisc/,National Park,"Miami, Key Biscayne & Homestead, FL ",Florida
Canaveral,/cana/,National Seashore," Titusville and New Smyrna Beach, FL ",Florida
Castillo de San Marcos,/casa/,National Monument,"St. Augustine, FL ",Florida
De Soto,/deso/,National Memorial,"Bradenton, FL ",Florida
Dry Tortugas,/drto/,National Park,"Key West, FL ",Florida
Everglades,/ever/,National Park,"Miami, Naples, and Homestead, FL ",Florida
Fort Caroline,/foca/,National Memorial,"the Timucuan Preserve; Jacksonville, FL ",Florida
Fort Matanzas,/foma/,National Monument,"St. Augustine, FL ",Florida
Gulf Islands,/guis/,National Seashore,"Gulf Breeze, Florida  and Ocean Springs, Mississippi            , FL,MS ",Florida
Timucuan,/timu/,Ecological & Historic Preserve,"Jacksonville, FL ",Florida
Andersonville,/ande/,National Historic Site,"Andersonville, GA ",Georgia
Appalachian,/appa/,National Scenic Trail,"Maine to Georgia, CT,GA,MA,MD,ME,NC,NH,NJ,NY,PA,TN,VA,VT,WV ",Georgia
Chattahoochee River,/chat/,National Recreation Area,"Atlanta, GA ",Georgia
Chickamauga & Chattanooga,/chch/,National Military Park,"Fort Oglethorpe, GA,TN ",Georgia
Cumberland Island,/cuis/,National Seashore,"Saint Marys, GA ",Georgia
Fort Frederica,/fofr/,National Monument,"St. Simons Island, GA ",Georgia
Fort Pulaski,/fopu/,National Monument,"Savannah, GA ",Georgia
Jimmy Carter,/jica/,National Historical Park,"Plains, GA ",Georgia
Kennesaw Mountain,/kemo/,National Battlefield Park,"Kennesaw, GA ",Georgia
"Martin Luther King, Jr.",/malu/,National Historical Park,"Atlanta, GA ",Georgia
Ocmulgee Mounds,/ocmu/,National Historical Park,"Macon, GA ",Georgia
Trail Of Tears,/trte/,National Historic Trail,"AL,AR,GA,IL,KY,MO,NC,OK,TN ",Georgia
War In The Pacific,/wapa/,National Historical Park,"Asan, GU ",Guam
Ala Kahakai,/alka/,National Historic Trail,"the Island of Hawaii, HI ",Hawaii
Haleakalā,/hale/,National Park,"Kula, Maui, HI ",Hawaii
Hawaiʻi Volcanoes,/havo/,National Park,"Hilo, HI ",Hawaii
Honouliuli,/hono/,National Historic Site,HI ,Hawaii
Kalaupapa,/kala/,National Historical Park,"Kalaupapa, HI ",Hawaii
Kaloko-Honokōhau,/kaho/,National Historical Park,"Kailua-Kona, HI ",Hawaii
Pearl Harbor,/valr/,National Memorial,"Honolulu, HI ",Hawaii
Puʻuhonua o Hōnaunau,/puho/,National Historical Park,"Honaunau, HI ",Hawaii
Puʻukoholā Heiau,/puhe/,National Historic Site,"Kawaihae, HI ",Hawaii
California,/cali/,National Historic Trail,"Various States CA,CO,ID,KS,MO,NE,NV,OR,UT,WY ",Idaho
City Of Rocks,/ciro/,National Reserve,"Almo, ID ",Idaho
Craters Of The Moon,/crmo/,National Monument & Preserve,"Arco, Carey and Rupert , ID ",Idaho
Hagerman Fossil Beds,/hafo/,National Monument,"Hagerman, ID ",Idaho
Ice Age Floods,/iafl/,National Geologic Trail,"WA,OR,ID,MT ",Idaho
Lewis & Clark,/lecl/,National Historic Trail,"Sixteen States: IA,ID,IL,IN,KS,KY,MO,MT,NE,ND,OH,OR,PA,SD,WA,WV ",Idaho
Minidoka,/miin/,National Historic Site,"Jerome, ID,WA ",Idaho
Nez Perce,/nepe/,National Historical Park,"four states ID,MT,OR,WA ",Idaho
Oregon,/oreg/,National Historic Trail,"Various States ID,KS,MO,NE,OR,WA,WY ",Idaho
Yellowstone,/yell/,National Park,"Yellowstone National Park, ID,MT,WY ",Idaho
Emmett Till and Mamie Till-Mobley,/till/,National Monument,"IL,MS ",Illinois
Lewis & Clark,/lecl/,National Historic Trail,"Sixteen States: IA,ID,IL,IN,KS,KY,MO,MT,NE,ND,OH,OR,PA,SD,WA,WV ",Illinois
Lincoln Home,/liho/,National Historic Site,"Springfield, IL ",Illinois
Mormon Pioneer,/mopi/,National Historic Trail,"Various States IL,IA,NE,UT,WY ",Illinois
New Philadelphia,/neph/,National Historic Site,IL ,Illinois
Pullman,/pull/,National Historical Park,"Chicago, IL ",Illinois
Springfield 1908 Race Riot,/spra/,National Monument,IL ,Illinois
Trail Of Tears,/trte/,National Historic Trail,"AL,AR,GA,IL,KY,MO,NC,OK,TN ",Illinois
George Rogers Clark,/gero/,National Historical Park,"Vincennes, IN ",Indiana
Indiana Dunes,/indu/,National Park,"Porter, IN ",Indiana
Lewis & Clark,/lecl/,National Historic Trail,"Sixteen States: IA,ID,IL,IN,KS,KY,MO,MT,NE,ND,OH,OR,PA,SD,WA,WV ",Indiana
Lincoln Boyhood,/libo/,National Memorial,"Lincoln City, IN ",Indiana
Effigy Mounds,/efmo/,National Monument,"Harpers Ferry, IA ",Iowa
Herbert Hoover,/heho/,National Historic Site,"West Branch, IA ",Iowa
Lewis & Clark,/lecl/,National Historic Trail,"Sixteen States: IA,ID,IL,IN,KS,KY,MO,MT,NE,ND,OH,OR,PA,SD,WA,WV ",Iowa
Mormon Pioneer,/mopi/,National Historic Trail,"Various States IL,IA,NE,UT,WY ",Iowa
Brown v. Board of Education,/brvb/,National Historical Park,"Topeka, KS ",Kansas
California,/cali/,National Historic Trail,"Various States CA,CO,ID,KS,MO,NE,NV,OR,UT,WY ",Kansas
Fort Larned,/fols/,National Historic Site,"Larned, KS ",Kansas
