park_name,park_url,park_type,park_city,park_state
Fort Union Trading Post,/fous/,National Historic Site,"Two States: MT,ND ",North Dakota
Knife River Indian Villages,/knri/,National Historic Site,"Stanton, ND ",North Dakota
Lewis & Clark,/lecl/,National Historic Trail,"Sixteen States: IA,ID,IL,IN,KS,KY,MO,MT,NE,ND,OH,OR,PA,SD,WA,WV ",North Dakota
North Country,/noco/,National Scenic Trail,"Eight States - Vermont to North Dakota MI,MN,ND,NY,OH,PA,VT,WI ",North Dakota
Theodore Roosevelt,/thro/,National Park,"Medora, ND (South Unit). The North Unit is located 15 miles south of Watford City, ND ",North Dakota
American Memorial,/amme/,Park,"Saipan, MP ",Northern Mariana Islands
Charles Young Buffalo Soldiers,/chyo/,National Monument,"Xenia, OH ",Ohio
Cuyahoga Valley,/cuva/,National Park,"Cleveland and Akron, OH ",Ohio
Dayton Aviation Heritage,/daav/,National Historical Park,"Dayton, OH ",Ohio
First Ladies,/fila/,National Historic Site,"Canton, OH ",Ohio
Hopewell Culture,/hocu/,National Historical Park,"Chillicothe, OH ",Ohio
James A Garfield,/jaga/,National Historic Site,"Mentor, OH ",Ohio
Lewis & Clark,/lecl/,National Historic Trail,"Sixteen States: IA,ID,IL,IN,KS,KY,MO,MT,NE,ND,OH,OR,PA,SD,WA,WV ",Ohio
North Country,/noco/,National Scenic Trail,"Eight States - Vermont to North Dakota MI,MN,ND,NY,OH,PA,VT,WI ",Ohio
Perry's Victory & International Peace,/pevi/,Memorial,"Put-in-Bay, OH ",Ohio
William Howard Taft,/wiho/,National Historic Site,"Cincinnati, OH ",Ohio
Butterfield Overland,/buov/,National Historic Trail,"MO, AR, OK, TX, NM, AZ, CA ",Oklahoma
Chickasaw,/chic/,National Recreation Area,"Sulphur, OK ",Oklahoma
Fort Smith,/fosm/,National Historic Site,"Fort Smith, AR,OK ",Oklahoma
Oklahoma City,/okci/,National Memorial,"Oklahoma City, OK ",Oklahoma
Santa Fe,/safe/,National Historic Trail,"CO,KS,MO,NM,OK ",Oklahoma
Trail Of Tears,/trte/,National Historic Trail,"AL,AR,GA,IL,KY,MO,NC,OK,TN ",Oklahoma
Washita Battlefield,/waba/,National Historic Site,"Cheyenne, OK ",Oklahoma
California,/cali/,National Historic Trail,"Various States CA,CO,ID,KS,MO,NE,NV,OR,UT,WY ",Oregon
Crater Lake,/crla/,National Park,"Crater Lake, OR ",Oregon
Fort Vancouver,/fova/,National Historic Site,"Vancouver, OR,WA ",Oregon
Ice Age Floods,/iafl/,National Geologic Trail,"WA,OR,ID,MT ",Oregon
John Day Fossil Beds,/joda/,National Monument,"Kimberly, OR ",Oregon
Lewis & Clark,/lecl/,National Historic Trail,"Sixteen States: IA,ID,IL,IN,KS,KY,MO,MT,NE,ND,OH,OR,PA,SD,WA,WV ",Oregon
Lewis and Clark,/lewi/,National Historical Park,"Long Beach to Cannon Beach, OR,WA ",Oregon
Nez Perce,/nepe/,National Historical Park,"four states ID,MT,OR,WA ",Oregon
Oregon,/oreg/,National Historic Trail,"Various States ID,KS,MO,NE,OR,WA,WY ",Oregon
Oregon Caves,/orca/,National Monument & Preserve,"Cave Junction, OR ",Oregon
Allegheny Portage Railroad,/alpo/,National Historic Site,"Gallitzin, PA ",Pennsylvania
Appalachian,/appa/,National Scenic Trail,"Maine to Georgia, CT,GA,MA,MD,ME,NC,NH,NJ,NY,PA,TN,VA,VT,WV ",Pennsylvania
Captain John Smith Chesapeake,/cajo/,National Historic Trail,"Various States VA,MD,DE,DC,PA,NY ",Pennsylvania
Carlisle Federal Indian Boarding School,/cibs/,National Monument,PA ,Pennsylvania
Chesapeake Bay,/cbpo/,,"Chesapeake Bay Watershed, DC,DE,MD,NY,PA,VA,WV ",Pennsylvania
Delaware Water Gap,/dewa/,National Recreation Area,"HQ in Bushkill PA; the park is along the Delaware River in the states of NJ,PA ",Pennsylvania
Edgar Allan Poe,/edal/,National Historic Site,"Philadelphia, PA ",Pennsylvania
Eisenhower,/eise/,National Historic Site,"Gettysburg, PA ",Pennsylvania
First State,/frst/,National Historical Park,"DE,PA ",Pennsylvania
Flight 93,/flni/,National Memorial,"Shanksville, PA ",Pennsylvania
Fort Necessity,/fone/,National Battlefield,"Farmington, PA ",Pennsylvania
Friendship Hill,/frhi/,National Historic Site,"Point Marion, PA ",Pennsylvania
Gettysburg,/gett/,National Military Park,"Gettysburg, PA ",Pennsylvania
Gloria Dei Church,/glde/,National Historic Site,"Philadelphia, PA ",Pennsylvania
Hopewell Furnace,/hofu/,National Historic Site,"Elverson, PA ",Pennsylvania
Independence,/inde/,National Historical Park,"Philadelphia, PA ",Pennsylvania
Johnstown Flood,/jofl/,National Memorial,"South Fork, PA ",Pennsylvania
Lewis & Clark,/lecl/,National Historic Trail,"Sixteen States: IA,ID,IL,IN,KS,KY,MO,MT,NE,ND,OH,OR,PA,SD,WA,WV ",Pennsylvania
Lower Delaware,/lode/,National Wild and Scenic River,"PA,NJ ",Pennsylvania
North Country,/noco/,National Scenic Trail,"Eight States - Vermont to North Dakota MI,MN,ND,NY,OH,PA,VT,WI ",Pennsylvania
Potomac Heritage,/pohe/,National Scenic Trail,"the corridor between the Chesapeake Bay and the Allegheny Highlands, DC,MD,PA,VA ",Pennsylvania
Steamtown,/stea/,National Historic Site,"Scranton, PA ",Pennsylvania
Thaddeus Kosciuszko,/thko/,National Memorial,"Philadelphia, PA ",Pennsylvania
Upper Delaware,/upde/,Scenic & Recreational River,"Pike and Wayne (PA) and Delaware, Orange and Sullivan (NY) counties along the Delaware River, NY,PA ",Pennsylvania
Valley Forge,/vafo/,National Historical Park,"Valley Forge, PA ",Pennsylvania
Washington-Rochambeau Revolutionary Route,/waro/,National Historic Trail,"MA,RI,CT,NY,NJ,PA,DE,MD,VA,DC ",Pennsylvania
San Juan,/saju/,National Historic Site,"San Juan, PR ",Puerto Rico
Blackstone River Valley,/blrv/,National Historical Park,"RI,MA ",Rhode Island
Roger Williams,/rowi/,National Memorial,"Providence, RI ",Rhode Island
Touro Synagogue,/tosy/,National Historic Site,"Newport, RI ",Rhode Island
Washington-Rochambeau Revolutionary Route,/waro/,National Historic Trail,"MA,RI,CT,NY,NJ,PA,DE,MD,VA,DC ",Rhode Island
Charles Pinckney,/chpi/,National Historic Site,"Mt. Pleasant, SC ",South Carolina
Congaree,/cong/,National Park,"Hopkins, SC ",South Carolina
Cowpens,/cowp/,National Battlefield,"Chesnee, SC ",South Carolina
Fort Sumter and Fort Moultrie,/fosu/,National Historical Park,"Charleston Harbor, SC ",South Carolina
Kings Mountain,/kimo/,National Military Park,"Blacksburg, SC ",South Carolina
Ninety Six,/nisi/,National Historic Site,"Ninety Six, SC ",South Carolina
Overmountain Victory,/ovvi/,National Historic Trail,"NC,SC,TN,VA ",South Carolina
Reconstruction Era,/reer/,National Historical Park,SC ,South Carolina
Badlands,/badl/,National Park,"Southwestern, SD ",South Dakota
Jewel Cave,/jeca/,National Monument,"Custer, SD ",South Dakota
Lewis & Clark,/lecl/,National Historic Trail,"Sixteen States: IA,ID,IL,IN,KS,KY,MO,MT,NE,ND,OH,OR,PA,SD,WA,WV ",South Dakota
Minuteman Missile,/mimi/,National Historic Site,"Southwestern , SD ",South Dakota
Missouri,/mnrr/,National Recreational River,"Yankton, SD,NE ",South Dakota
Mount Rushmore,/moru/,National Memorial,"Keystone, SD ",South Dakota
Wind Cave,/wica/,National Park,"Hot Springs, SD ",South Dakota
Andrew Johnson,/anjo/,National Historic Site,"Greeneville, TN ",Tennessee
Appalachian,/appa/,National Scenic Trail,"Maine to Georgia, CT,GA,MA,MD,ME,NC,NH,NJ,NY,PA,TN,VA,VT,WV ",Tennessee
Big South Fork,/biso/,National River & Recreation Area,"Oneida, KY,TN ",Tennessee
Chickamauga & Chattanooga,/chch/,National Military Park,"Fort Oglethorpe, GA,TN ",Tennessee
Cumberland Gap,/cuga/,National Historical Park,"Middlesboro, KY,TN,VA ",Tennessee
Fort Donelson,/fodo/,National Battlefield,"Dover, KY,TN ",Tennessee
Great Smoky Mountains,/grsm/,National Park,"the states of NC,TN ",Tennessee
Manhattan Project,/mapr/,National Historical Park,"Manhattan Project National Historical Park, NM,WA,TN ",Tennessee
Natchez Trace,/natr/,Parkway,"the states of AL,MS,TN ",Tennessee
Natchez Trace,/natt/,National Scenic Trail,"Tupelo, AL,MS,TN ",Tennessee
Obed,/obed/,Wild & Scenic River,"Wartburg, TN ",Tennessee
Overmountain Victory,/ovvi/,National Historic Trail,"NC,SC,TN,VA ",Tennessee
Shiloh,/shil/,National Military Park,"Shiloh, TN,MS ",Tennessee
Stones River,/stri/,National Battlefield,"Murfreesboro, TN ",Tennessee
Trail Of Tears,/trte/,National Historic Trail,"AL,AR,GA,IL,KY,MO,NC,OK,TN ",Tennessee
Alibates Flint Quarries,/alfl/,National Monument,"Fritch, TX ",Texas
Amistad,/amis/,National Recreation Area,"Del Rio, TX ",Texas
Big Bend,/bibe/,National Park,"The big bend of the Rio Grande, TX ",Texas
Big Thicket,/bith/,National Preserve,"Beaumont, TX ",Texas
Blackwell School,/blsc/,National Historic Site,TX ,Texas
Butterfield Overland,/buov/,National Historic Trail,"MO, AR, OK, TX, NM, AZ, CA ",Texas
Chamizal,/cham/,National Memorial,"El Paso, TX ",Texas
El Camino Real de los Tejas,/elte/,National Historic Trail,"Various States TX,LA ",Texas
El Camino Real de Tierra Adentro,/elca/,National Historic Trail,"NM,TX ",Texas
Fort Davis,/foda/,National Historic Site,"Fort Davis, TX ",Texas
Guadalupe Mountains,/gumo/,National Park,"Salt Flat, TX ",Texas
Lake Meredith,/lamr/,National Recreation Area,"Fritch, TX ",Texas
Lyndon B Johnson,/lyjo/,National Historical Park,"Johnson City, TX ",Texas
Padre Island,/pais/,National Seashore,"Corpus Christi, TX ",Texas
Palo Alto Battlefield,/paal/,National Historical Park,"Brownsville, TX ",Texas
Rio Grande,/rigr/,Wild & Scenic River,"Southwest Texas, TX ",Texas
San Antonio Missions,/saan/,National Historical Park,"San Antonio, TX ",Texas
Waco Mammoth,/waco/,National Monument,"Waco, TX ",Texas
Arches,/arch/,National Park,"Moab, UT ",Utah
Bryce Canyon,/brca/,National Park,"Bryce Canyon, UT ",Utah
California,/cali/,National Historic Trail,"Various States CA,CO,ID,KS,MO,NE,NV,OR,UT,WY ",Utah
Canyonlands,/cany/,National Park,"Moab, UT ",Utah
Capitol Reef,/care/,National Park,"Torrey, UT ",Utah
Cedar Breaks,/cebr/,National Monument,"Cedar City, UT ",Utah
Dinosaur,/dino/,National Monument,"Vernal, Utah & Dinosaur, Colorado, CO,UT ",Utah
Glen Canyon,/glca/,National Recreation Area,"Glen Canyon National Recreation Area, AZ,UT ",Utah
Golden Spike,/gosp/,National Historical Park,"Brigham City, UT ",Utah
Hovenweep,/hove/,National Monument,"Blanding, Utah & Cortez, Colorado, CO,UT ",Utah
Mormon Pioneer,/mopi/,National Historic Trail,"Various States IL,IA,NE,UT,WY ",Utah
Natural Bridges,/nabr/,National Monument,"Blanding, UT ",Utah
Old Spanish,/olsp/,National Historic Trail,"AZ,CA,CO,NV,NM,UT ",Utah
Pony Express,/poex/,National Historic Trail,"Various States CA,CO,KS,MO,NE,NV,UT,WY ",Utah
Rainbow Bridge,/rabr/,National Monument,"Rainbow Bridge National Monument, UT ",Utah
Timpanogos Cave,/tica/,National Monument,"American Fork, UT ",Utah
Zion,/zion/,National Park,"Springdale, UT ",Utah
Appalachian,/appa/,National Scenic Trail,"Maine to Georgia, CT,GA,MA,MD,ME,NC,NH,NJ,NY,PA,TN,VA,VT,WV ",Vermont
Marsh - Billings - Rockefeller,/mabi/,National Historical Park,"Woodstock, VT ",Vermont
North Country,/noco/,National Scenic Trail,"Eight States - Vermont to North Dakota MI,MN,ND,NY,OH,PA,VT,WI ",Vermont
Buck Island Reef,/buis/,National Monument,"St. Croix, VI ",Virgin Islands
Christiansted,/chri/,National Historic Site,"St. Croix, VI ",Virgin Islands
Salt River Bay,/sari/,National Historical Park and Ecological Preserve,"St. Croix, VI ",Virgin Islands
Virgin Islands,/viis/,National Park,"St.John, VI ",Virgin Islands
Virgin Islands Coral Reef,/vicr/,National Monument,"St. John, VI ",Virgin Islands
Appalachian,/appa/,National Scenic Trail,"Maine to Georgia, CT,GA,MA,MD,ME,NC,NH,NJ,NY,PA,TN,VA,VT,WV ",Virginia
Appomattox Court House,/apco/,National Historical Park,"Appomattox, VA ",Virginia
"Arlington House, The Robert  E. Lee Memorial",/arho/,,"Arlington, VA ",Virginia
Assateague Island,/asis/,National Seashore,"MD,VA ",Virginia
Blue Ridge,/blri/,Parkway,"Blue Ridge Mountains of Virginia and North Carolina, NC,VA ",Virginia
Booker T Washington,/bowa/,National Monument,"Hardy, VA ",Virginia
Cape Henry Memorial,/came/,Part of Colonial National Historical Park,"Fort Story, VA ",Virginia
Captain John Smith Chesapeake,/cajo/,National Historic Trail,"Various States VA,MD,DE,DC,PA,NY ",Virginia
Cedar Creek & Belle Grove,/cebe/,National Historical Park,"Middletown and Strasburg, VA ",Virginia
Chesapeake Bay,/cbpo/,,"Chesapeake Bay Watershed, DC,DE,MD,NY,PA,VA,WV ",Virginia
Civil War Defenses of Washington,/cwdw/,,"Washington, DC,MD,VA ",Virginia
Colonial,/colo/,National Historical Park,"Jamestown and Yorktown, VA ",Virginia
Cumberland Gap,/cuga/,National Historical Park,"Middlesboro, KY,TN,VA ",Virginia
Fort Monroe,/fomr/,National Monument,"Fort Monroe, VA ",Virginia
Fredericksburg & Spotsylvania,/frsp/,National Military Park,"Fredericksburg, VA ",Virginia
George Washington,/gwmp/,Memorial Parkway,"DC,MD,VA ",Virginia
George Washington Birthplace,/gewa/,National Monument,"Westmoreland County, VA ",Virginia
Great Falls,/grfa/,Park,"McLean, VA ",Virginia
Green Springs,/grsp/,,"Louisa County, VA ",Virginia
Harpers Ferry,/hafe/,National Historical Park,"Harpers Ferry, WV,VA,MD ",Virginia
Historic Jamestowne,/jame/,Part of Colonial National Historical Park,"James City County, VA ",Virginia
Maggie L Walker,/mawa/,National Historic Site,"Richmond, VA ",Virginia
Manassas,/mana/,National Battlefield Park,"Manassas, VA ",Virginia
Overmountain Victory,/ovvi/,National Historic Trail,"NC,SC,TN,VA ",Virginia
Petersburg,/pete/,National Battlefield,"Petersburg, VA ",Virginia
Potomac Heritage,/pohe/,National Scenic Trail,"the corridor between the Chesapeake Bay and the Allegheny Highlands, DC,MD,PA,VA ",Virginia
Prince William Forest,/prwi/,Park,"Triangle, VA ",Virginia
Richmond,/rich/,National Battlefield Park,"Richmond, VA ",Virginia
Shenandoah,/shen/,National Park,"the Blue Ridge Mountains near Luray, VA ",Virginia
Star-Spangled Banner,/stsp/,National Historic Trail,"DC,MD,VA ",Virginia
Washington-Rochambeau Revolutionary Route,/waro/,National Historic Trail,"MA,RI,CT,NY,NJ,PA,DE,MD,VA,DC ",Virginia
Wolf Trap National Park for the Performing Arts,/wotr/,,"Vienna, VA ",Virginia
Yorktown Battlefield,/york/,Part of Colonial National Historical Park,"Yorktown, VA ",Virginia
Ebey's Landing,/ebla/,National Historical Reserve,"Coupeville, WA ",Washington
Fort Vancouver,/fova/,National Historic Site,"Vancouver, OR,WA ",Washington
Ice Age Floods,/iafl/,National Geologic Trail,"WA,OR,ID,MT ",Washington
Klondike Gold Rush - Seattle Unit,/klse/,National Historical Park,"Seattle, WA ",Washington
Lake Roosevelt,/laro/,National Recreation Area,"the Canadian border going to Coulee Dam along the Columbia River, WA ",Washington
Lewis & Clark,/lecl/,National Historic Trail,"Sixteen States: IA,ID,IL,IN,KS,KY,MO,MT,NE,ND,OH,OR,PA,SD,WA,WV ",Washington
Lewis and Clark,/lewi/,National Historical Park,"Long Beach to Cannon Beach, OR,WA ",Washington
Manhattan Project,/mapr/,National Historical Park,"Manhattan Project National Historical Park, NM,WA,TN ",Washington
Minidoka,/miin/,National Historic Site,"Jerome, ID,WA ",Washington
Mount Rainier,/mora/,National Park,"Ashford, Enumclaw, Packwood, Wilkeson, WA ",Washington
Nez Perce,/nepe/,National Historical Park,"four states ID,MT,OR,WA ",Washington
North Cascades,/noca/,National Park,"Marblemount, WA ",Washington
Olympic,/olym/,National Park,"Port Angeles, WA ",Washington
Oregon,/oreg/,National Historic Trail,"Various States ID,KS,MO,NE,OR,WA,WY ",Washington
San Juan Island,/sajh/,National Historical Park,"Friday Harbor, WA ",Washington
Whitman Mission,/whmi/,National Historic Site,"Walla Walla, WA ",Washington
Wing Luke Museum,/wing/,Affiliated Area,"Seattle, WA ",Washington
Appalachian,/appa/,National Scenic Trail,"Maine to Georgia, CT,GA,MA,MD,ME,NC,NH,NJ,NY,PA,TN,VA,VT,WV ",West Virginia
Bluestone,/blue/,National Scenic River,"Athens, Pipestem, and Hinton, WV ",West Virginia
Chesapeake & Ohio Canal,/choh/,National Historical Park,"Potomac River, DC,MD,WV ",West Virginia
Chesapeake Bay,/cbpo/,,"Chesapeake Bay Watershed, DC,DE,MD,NY,PA,VA,WV ",West Virginia
Gauley River,/gari/,National Recreation Area,"Summersville, WV ",West Virginia
Harpers Ferry,/hafe/,National Historical Park,"Harpers Ferry, WV,VA,MD ",West Virginia
Lewis & Clark,/lecl/,National Historic Trail,"Sixteen States: IA,ID,IL,IN,KS,KY,MO,MT,NE,ND,OH,OR,PA,SD,WA,WV ",West Virginia
New River Gorge,/neri/,National Park & Preserve,"Hinton, Beckley, Glen Jean, and Fayetteville, WV ",West Virginia
Apostle Islands,/apis/,National Lakeshore,"Lake Superior, WI ",Wisconsin
Ice Age,/iatr/,National Scenic Trail,"Madison, WI ",Wisconsin
North Country,/noco/,National Scenic Trail,"Eight States - Vermont to North Dakota MI,MN,ND,NY,OH,PA,VT,WI ",Wisconsin
Saint Croix,/sacn/,National Scenic Riverway,"Saint Croix Falls, WI,MN ",Wisconsin
Bighorn Canyon,/bica/,National Recreation Area,"Fort Smith, MT,WY ",Wyoming
California,/cali/,National Historic Trail,"Various States CA,CO,ID,KS,MO,NE,NV,OR,UT,WY ",Wyoming
Devils Tower,/deto/,National Monument,"Devils Tower, WY ",Wyoming
Fort Laramie,/fola/,National Historic Site,"Southeast Wyoming, WY ",Wyoming
Fossil Butte,/fobu/,National Monument,"Kemmerer, WY ",Wyoming
Grand Teton,/grte/,National Park,"Moose, WY ",Wyoming
Mormon Pioneer,/mopi/,National Historic Trail,"Various States IL,IA,NE,UT,WY ",Wyoming
Oregon,/oreg/,National Historic Trail,"Various States ID,KS,MO,NE,OR,WA,WY ",Wyoming
Pony Express,/poex/,National Historic Trail,"Various States CA,CO,KS,MO,NE,NV,UT,WY ",Wyoming
Yellowstone,/yell/,National Park,"Yellowstone National Park, ID,MT,WY ",Wyoming
